cloneid_geno,batch,SC_group,treatment,height,,,batch,cluster,treatment,# clones tested,,,As,3.8,Os,3.8,,
April_2017_D8_298,batch14,A,0.5,0.272447627,,,,,,,,,,,,,,
May_2017_D8_663,batch14,A,0.5,0.254925662,,,,,,,,,,,,,,
Spring_2017_D8_225,batch14,A,0.5,0.257774007,,,,,,,,,,,,,,
Spring_2017_D8_350,batch14,A,0.5,0.267017881,,,,,,,,,,,,,,
April_2017_DBunk_119,batch14,O,0,0.24563742,,,,,,,,,,,,,,
Spring_2017_DBunk_378,batch14,O,0,0.252498601,,,,,,,,,,,,,,
April_2017_DBunk_119,batch14,O,0.5,0.27660443,,,,,,,,,,,,,,
Spring_2017_DBunk_360,batch14,O,0.5,0.283509984,,,,,,,,,,,,,,
Spring_2017_DBunk_378,batch14,O,0.5,0.277095492,,,,,,,,,,,,,,
May_2017_D8_663,batch15,A,0,0.250053188,,,,,,,,,,,,,,
Spring_2017_D8_225,batch15,A,0,0.250388571,,,,,,,,,,,,,,
April_2017_D8_183,batch15,A,0.5,0.279185666,,,,,,,,,,,,,,
May_2017_D8_663,batch15,A,0.5,0.245925732,,,,,,,,,,,,,,
Spring_2017_D8_225,batch15,A,0.5,0.274929265,,,,,,,,,,,,,,
Spring_2017_DBunk_363,batch15,O,0,0.241194899,,,,,,,,,,,,,,
Spring_2017_DBunk_73,batch15,O,0,0.247271449,,,,,,,,,,,,,,
Spring_2017_DBunk_363,batch15,O,0.5,0.267475998,,,,,,,,,,,,,,
Spring_2017_DBunk_73,batch15,O,0.5,0.280463055,,,,,,,,,,,,,,
May_2017_D8_663,batch16,A,0,0.243986866,,,,,,,,,,,,,,
May_2017_D8_756,batch16,A,0,0.250228666,,,,,,,,,,,,,,
May_2017_D8_771,batch16,A,0,0.257317534,,,,,,,,,,,,,,
Spring_2017_D8_350,batch16,A,0,0.24314911,,,,,,,,,,,,,,
May_2017_D8_663,batch16,A,0.5,0.272205499,,,,,,,,,,,,,,
May_2017_D8_756,batch16,A,0.5,0.263849208,,,,,,,,,,,,,,
May_2017_D8_771,batch16,A,0.5,0.279407959,,,,,,,,,,,,,,
Spring_2017_D8_350,batch16,A,0.5,0.256527095,,,,,,,,,,,,,,
April_2017_DBunk_132,batch16,O,0,0.244794812,,,,,,,,,,,,,,
April_2017_DBunk_36,batch16,O,0,0.254525085,,,,,,,,,,,,,,
Spring_2017_DBunk_143,batch16,O,0,0.2426239,,,,,,,,,,,,,,
Spring_2017_DBunk_252,batch16,O,0,0.273867283,,,,,,,,,,,,,,
April_2017_DBunk_36,batch16,O,0.5,0.273716549,,,,,,,,,,,,,,
Spring_2017_DBunk_143,batch16,O,0.5,0.27132807,,,,,,,,,,,,,,
April_2017_D8_213,batch17,A,0,0.230888043,,,,,,,,,,,,,,
April_2017_D8_213,batch17,A,0.5,0.247146396,,,,,,,,,,,,,,
April_2017_DBunk_112,batch17,O,0,0.249075329,,,,,,,,,,,,,,
May_2017_DBunk_525,batch17,O,0,0.235354359,,,,,,,,,,,,,,
May_2017_DBunk_547,batch17,O,0,0.237926677,,,,,,,,,,,,,,
May_2017_DBunk_590,batch17,O,0,0.252722591,,,,,,,,,,,,,,
May_2017_DBunk_591,batch17,O,0,0.266634588,,,,,,,,,,,,,,
Spring_2017_DBunk_217,batch17,O,0,0.259064786,,,,,,,,,,,,,,
Spring_2017_DBunk_338,batch17,O,0,0.254536594,,,,,,,,,,,,,,
Spring_2017_DBunk_347,batch17,O,0,0.255359498,,,,,,,,,,,,,,
Spring_2017_DBunk_360,batch17,O,0,0.246204039,,,,,,,,,,,,,,
Spring_2017_DBunk_73,batch17,O,0,0.245170711,,,,,,,,,,,,,,
April_2017_DBunk_112,batch17,O,0.5,0.280086514,,,,,,,,,,,,,,
April_2017_DBunk_131,batch17,O,0.5,0.288466035,,,,,,,,,,,,,,
April_2017_DBunk_132,batch17,O,0.5,0.262510279,,,,,,,,,,,,,,
May_2017_DBunk_525,batch17,O,0.5,0.231094362,,,,,,,,,,,,,,
May_2017_DBunk_547,batch17,O,0.5,0.268361164,,,,,,,,,,,,,,
May_2017_DBunk_590,batch17,O,0.5,0.291550339,,,,,,,,,,,,,,
May_2017_DBunk_591,batch17,O,0.5,0.270220007,,,,,,,,,,,,,,
Spring_2017_DBunk_217,batch17,O,0.5,0.27187333,,,,,,,,,,,,,,
Spring_2017_DBunk_338,batch17,O,0.5,0.268747293,,,,,,,,,,,,,,
Spring_2017_DBunk_347,batch17,O,0.5,0.273694481,,,,,,,,,,,,,,
Spring_2017_DBunk_360,batch17,O,0.5,0.283255337,,,,,,,,,,,,,,
Spring_2017_DBunk_73,batch17,O,0.5,0.267256575,,,,,,,,,,,,,,
May_2017_DBunk_594,batch18,A,0,0.241441379,,,,,,,,,,,,,,
May_2017_DBunk_594,batch18,A,0.5,0.268706758,,,,,,,,,,,,,,
May_2017_DBunk_514,batch18,O,0,0.252824112,,,,,,,,,,,,,,
May_2017_DBunk_558,batch18,O,0,0.231194199,,,,,,,,,,,,,,
Spring_2017_DBunk_242,batch18,O,0,0.26961856,,,,,,,,,,,,,,
Spring_2017_DBunk_252,batch18,O,0,0.249433296,,,,,,,,,,,,,,
Spring_2017_DBunk_260,batch18,O,0,0.251198608,,,,,,,,,,,,,,
Spring_2017_DBunk_321,batch18,O,0,0.248752797,,,,,,,,,,,,,,
Spring_2017_DBunk_360,batch18,O,0,0.263772818,,,,,,,,,,,,,,
May_2017_DBunk_514,batch18,O,0.5,0.267890571,,,,,,,,,,,,,,
May_2017_DBunk_558,batch18,O,0.5,0.25642507,,,,,,,,,,,,,,
Spring_2017_DBunk_242,batch18,O,0.5,0.267912555,,,,,,,,,,,,,,
Spring_2017_DBunk_252,batch18,O,0.5,0.260613411,,,,,,,,,,,,,,
Spring_2017_DBunk_260,batch18,O,0.5,0.246735977,,,,,,,,,,,,,,
Spring_2017_DBunk_321,batch18,O,0.5,0.268819204,,,,,,,,,,,,,,
Spring_2017_DBunk_360,batch18,O,0.5,0.290952662,,,,,,,,,,,,,,
May_2017_DBunk_514,batch19,O,0,0.244992549,,,,,,,,,,,,,,
May_2017_DBunk_579,batch19,O,0,0.245734791,,,,,,,,,,,,,,
Spring_2017_DBunk_387,batch19,O,0,0.258837112,,,,,,,,,,,,,,
May_2017_DBunk_514,batch19,O,0.5,0.280316486,,,,,,,,,,,,,,
May_2017_DBunk_579,batch19,O,0.5,0.275260321,,,,,,,,,,,,,,
Spring_2017_DBunk_387,batch19,O,0.5,0.284174774,,,,,,,,,,,,,,
April_2017_DBunk_131,batch20,O,0,0.252374277,,,,,,,,,,,,,,
April_2017_DBunk_132,batch20,O,0.5,0.275514389,,,,,,,,,,,,,,
Spring_2017_DBunk_360,batch20,O,0.5,0.280917855,,,,,,,,,,,,,,
Spring_2016_D8_8.31,batch4,O,0,0.253477442,,,,,,,,,,,,,,
Spring_2016_D8_8.29,batch4,O,0.5,0.262776129,,,,,,,,,,,,,,
April_2017_D8_103,batch5,A,0,0.244901742,,,,,,,,,,,,,,
April_2017_D8_135,batch5,A,0,0.245140304,,,,,,,,,,,,,,
April_2017_D8_191,batch5,A,0,0.23779406,,,,,,,,,,,,,,
April_2017_D8_213,batch5,A,0,0.261501396,,,,,,,,,,,,,,
April_2017_D8_215,batch5,A,0,0.238493257,,,,,,,,,,,,,,
April_2017_D8_103,batch5,A,0.5,0.243458887,,,,,,,,,,,,,,
April_2017_D8_135,batch5,A,0.5,0.255241442,,,,,,,,,,,,,,
April_2017_D8_183,batch5,A,0.5,0.237066188,,,,,,,,,,,,,,
April_2017_D8_191,batch5,A,0.5,0.246432339,,,,,,,,,,,,,,
April_2017_D8_215,batch5,A,0.5,0.262287835,,,,,,,,,,,,,,
April_2017_DBunk_131,batch5,O,0.5,0.271967588,,,,,,,,,,,,,,
April_2017_DBunk_132,batch5,O,0.5,0.275450278,,,,,,,,,,,,,,
Spring_2016_D8_8.31,batch5,O,0.5,0.250941702,,,,,,,,,,,,,,
April_2017_D8_119,batch6,A,0,0.259165745,,,,,,,,,,,,,,
April_2017_D8_136,batch6,A,0,0.23466656,,,,,,,,,,,,,,
April_2017_D8_142,batch6,A,0,0.240922679,,,,,,,,,,,,,,
April_2017_D8_101,batch6,O,0,0.255559725,,,,,,,,,,,,,,
April_2017_D8_137,batch6,O,0,0.260767396,,,,,,,,,,,,,,
April_2017_D8_209,batch7,A,0,0.250652091,,,,,,,,,,,,,,
April_2017_D8_349,batch7,A,0,0.247332648,,,,,,,,,,,,,,
April_2017_D8_360,batch7,A,0,0.242431518,,,,,,,,,,,,,,
April_2017_D8_209,batch7,A,0.5,0.259675413,,,,,,,,,,,,,,
April_2017_D8_349,batch7,A,0.5,0.26975932,,,,,,,,,,,,,,
April_2017_D8_360,batch7,A,0.5,0.266847344,,,,,,,,,,,,,,
April_2017_D8_134,batch7,O,0,0.240569636,,,,,,,,,,,,,,
April_2017_D8_151,batch7,O,0,0.250955595,,,,,,,,,,,,,,
April_2017_DBunk_63,batch7,O,0,0.251471443,,,,,,,,,,,,,,
April_2017_DBunk_90,batch7,O,0,0.276071836,,,,,,,,,,,,,,
April_2017_DBunk_91,batch7,O,0,0.22994554,,,,,,,,,,,,,,
April_2017_D8_134,batch7,O,0.5,0.263877897,,,,,,,,,,,,,,
April_2017_D8_151,batch7,O,0.5,0.255860026,,,,,,,,,,,,,,
April_2017_DBunk_63,batch7,O,0.5,0.268284544,,,,,,,,,,,,,,
April_2017_DBunk_9,batch7,O,0.5,0.262941254,,,,,,,,,,,,,,
April_2017_DBunk_90,batch7,O,0.5,0.283029614,,,,,,,,,,,,,,
April_2017_DBunk_91,batch7,O,0.5,0.263693939,,,,,,,,,,,,,,
April_2017_D8_119,batch8,A,0,0.246224032,,,,,,,,,,,,,,
April_2017_D8_136,batch8,A,0,0.23506119,,,,,,,,,,,,,,
April_2017_D8_142,batch8,A,0,0.234054887,,,,,,,,,,,,,,
April_2017_D8_147,batch8,A,0,0.236893752,,,,,,,,,,,,,,
April_2017_D8_179,batch8,A,0,0.245712596,,,,,,,,,,,,,,
April_2017_D8_191,batch8,A,0,0.237658573,,,,,,,,,,,,,,
April_2017_D8_203,batch8,A,0,0.248473678,,,,,,,,,,,,,,
April_2017_D8_342,batch8,A,0,0.24777335,,,,,,,,,,,,,,
April_2017_D8_77,batch8,A,0,0.252369251,,,,,,,,,,,,,,
April_2017_DBunk_26,batch8,A,0,0.259739207,,,,,,,,,,,,,,
April_2017_D8_119,batch8,A,0.5,0.254516841,,,,,,,,,,,,,,
April_2017_D8_136,batch8,A,0.5,0.273163554,,,,,,,,,,,,,,
April_2017_D8_142,batch8,A,0.5,0.275837638,,,,,,,,,,,,,,
April_2017_D8_147,batch8,A,0.5,0.24952055,,,,,,,,,,,,,,
April_2017_D8_179,batch8,A,0.5,0.263565896,,,,,,,,,,,,,,
April_2017_D8_191,batch8,A,0.5,0.257746296,,,,,,,,,,,,,,
April_2017_D8_203,batch8,A,0.5,0.277733712,,,,,,,,,,,,,,
April_2017_D8_213,batch8,A,0.5,0.263996377,,,,,,,,,,,,,,
April_2017_D8_342,batch8,A,0.5,0.261039335,,,,,,,,,,,,,,
April_2017_D8_77,batch8,A,0.5,0.259099811,,,,,,,,,,,,,,
April_2017_DBunk_26,batch8,A,0.5,0.240431488,,,,,,,,,,,,,,
May_2017_D8_542,batch8,A,0.5,0.280804525,,,,,,,,,,,,,,
April_2017_D8_101,batch8,O,0,0.256360949,,,,,,,,,,,,,,
April_2017_D8_137,batch8,O,0,0.273224353,,,,,,,,,,,,,,
April_2017_DBunk_131,batch8,O,0,0.26038817,,,,,,,,,,,,,,
April_2017_DBunk_91,batch8,O,0,0.245696691,,,,,,,,,,,,,,
May_2017_D8_538,batch8,O,0,0.259234036,,,,,,,,,,,,,,
April_2017_D8_101,batch8,O,0.5,0.277870395,,,,,,,,,,,,,,
April_2017_D8_137,batch8,O,0.5,0.277156859,,,,,,,,,,,,,,
April_2017_DBunk_6,batch8,O,0.5,0.258751291,,,,,,,,,,,,,,
April_2017_DBunk_90,batch8,O,0.5,0.275504704,,,,,,,,,,,,,,
April_2017_DBunk_91,batch8,O,0.5,0.263077213,,,,,,,,,,,,,,
May_2017_D8_538,batch8,O,0.5,0.270762612,,,,,,,,,,,,,,
April_2017_D8_103,batch9,A,0,0.2539244,,,,,,,,,,,,,,
April_2017_D8_175,batch9,A,0,0.232774114,,,,,,,,,,,,,,
April_2017_D8_183,batch9,A,0,0.242416218,,,,,,,,,,,,,,
April_2017_D8_203,batch9,A,0,0.243798044,,,,,,,,,,,,,,
April_2017_D8_209,batch9,A,0,0.247844215,,,,,,,,,,,,,,
April_2017_D8_349,batch9,A,0,0.24900526,,,,,,,,,,,,,,
April_2017_D8_360,batch9,A,0,0.243094502,,,,,,,,,,,,,,
April_2017_D8_103,batch9,A,0.5,0.257705897,,,,,,,,,,,,,,
April_2017_D8_175,batch9,A,0.5,0.271869541,,,,,,,,,,,,,,
April_2017_D8_191,batch9,A,0.5,0.276995607,,,,,,,,,,,,,,
April_2017_D8_203,batch9,A,0.5,0.255455555,,,,,,,,,,,,,,
April_2017_D8_209,batch9,A,0.5,0.260965737,,,,,,,,,,,,,,
April_2017_D8_349,batch9,A,0.5,0.271125073,,,,,,,,,,,,,,
April_2017_D8_360,batch9,A,0.5,0.264677152,,,,,,,,,,,,,,
April_2017_D8_134,batch9,O,0,0.25267602,,,,,,,,,,,,,,
April_2017_DBunk_131,batch9,O,0,0.252448941,,,,,,,,,,,,,,
April_2017_DBunk_132,batch9,O,0,0.256686847,,,,,,,,,,,,,,
April_2017_DBunk_302,batch9,O,0,0.250493596,,,,,,,,,,,,,,
April_2017_DBunk_63,batch9,O,0,0.265405005,,,,,,,,,,,,,,
April_2017_DBunk_9,batch9,O,0,0.232227639,,,,,,,,,,,,,,
April_2017_D8_134,batch9,O,0.5,0.247197354,,,,,,,,,,,,,,
April_2017_DBunk_132,batch9,O,0.5,0.258475482,,,,,,,,,,,,,,
April_2017_DBunk_302,batch9,O,0.5,0.272942141,,,,,,,,,,,,,,
April_2017_DBunk_63,batch9,O,0.5,0.270710501,,,,,,,,,,,,,,
April_2017_DBunk_9,batch9,O,0.5,0.242521341,,,,,,,,,,,,,,
April_2017_DBunk_90,batch9,O,0.5,0.269433484,,,,,,,,,,,,,,
